"Employee ID","Gender","Job Level after FY20 promotions","New hire FY20?","FY20 Performance Rating","Promotion in FY21?","In base group for Promotion FY21","Target hire balance","FY20 leaver?","In base group for turnover FY20","Department @01.07.2020","Leaver FY","Job Level after FY21 promotions","Last Department in FY20","FTE group","Time type","Department & JL group PRA status","Department & JL group for PRA","Job Level group PRA status","Job Level group for PRA","Time in Job Level @01.07.2020","Job Level before FY20 promotions","Promotion in FY20?","FY19 Performance Rating","Age group","Age @01.07.2020","Nationality 1","Region group: nationality 1","Broad region group: nationality 1","Last hire date","Years since last hire","Rand"
"83","Female","6 - Junior Officer","N","4","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","3","20 to 29","23","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.3452313"
"84","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","3","20 to 29","26","France","Europe","Europe","4/1/2017","3","0.6167661"
"85","Male","2 - Director","N","4","No","No","0.50","Yes","Y","Internal Services","FY20","","Internal Services","Full Time","Full Time","","","","","2","2 - Director","N","4","30 to 39","33","France","Europe","Europe","4/1/2017","3","0.2180092"
"86","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","25","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.9093474"
"87","Male","1 - Executive","N","","No","No","0.50","No","Y","Internal Services","","1 - Executive","Internal Services","Full Time","Full Time","","","","","3","1 - Executive","N","2","40 to 49","40","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.3996211"
"88","Male","6 - Junior Officer","N","2","Yes","Yes","0.50","No","Y","HR","","5 - Senior Officer","HR","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & HR","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","3","20 to 29","24","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.9549922"
"89","Male","3 - Senior Manager","Y","","No","No","0.50","No","N","Internal Services","","3 - Senior Manager","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Internal Services","Age @01.07.2020","3 - Senior Manager","0","","N","","30 to 39","38","Germany","Europe","Europe","4/1/2020","0","0.6883207"
"90","Male","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","1","#REF!","Y","1","20 to 29","29","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.2874795"
"91","Male","5 - Senior Officer","N","2","Yes","Yes","0.50","No","Y","Operations","","4 - Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Operations","Age @01.07.2020","5 - Senior Officer","1","#REF!","Y","1","30 to 39","31","Germany","Europe","Europe","4/1/2015","5","0.7448403"
"92","Male","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","4","6 - Junior Officer","N","3","20 to 29","26","Switzerland","Switzerland","Switzerland","4/1/2016","4","0.9229259"
"93","Male","2 - Director","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","2 - Director","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Sales & Marketing","Uneven - Men benefit","2 - Director","3","2 - Director","N","3","30 to 39","39","Switzerland","Switzerland","Switzerland","4/1/2014","6","0.4649839"
"94","Male","4 - Manager","N","2","No","No","0.50","Yes","Y","Operations","FY20","","Operations","Full Time","Full Time","","","","","2","4 - Manager","N","3","40 to 49","44","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.4047335"
"95","Male","3 - Senior Manager","N","4","No","No","0.50","Yes","Y","Operations","FY20","","Operations","Full Time","Full Time","","","","","3","3 - Senior Manager","N","3","40 to 49","40","Germany","Europe","Europe","4/1/2012","8","0.3125088"
"96","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","25","France","Europe","Europe","4/1/2019","1","0.5391356"
"97","Female","4 - Manager","N","2","No","Yes","0.50","No","Y","HR","","4 - Manager","HR","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & HR","Age @01.07.2020","4 - Manager","2","4 - Manager","N","3","40 to 49","40","Germany","Europe","Europe","4/1/2017","3","0.8921032"
"98","Male","2 - Director","N","3","No","Yes","0.50","No","Y","Operations","","2 - Director","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Operations","Uneven - Men benefit","2 - Director","3","2 - Director","N","3","40 to 49","41","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.0125863"
"99","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","3","20 to 29","28","France","Europe","Europe","4/1/2017","3","0.9482571"
"100","Male","3 - Senior Manager","N","3","No","Yes","0.50","No","Y","Internal Services","","3 - Senior Manager","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Internal Services","Age @01.07.2020","3 - Senior Manager","2","3 - Senior Manager","N","3","30 to 39","39","Germany","Europe","Europe","4/1/2014","6","0.9549199"
"101","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","22","Germany","Europe","Europe","4/1/2018","2","0.9869607"
"102","Female","4 - Manager","N","2","No","Yes","0.50","No","Y","Operations","","4 - Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Operations","Age @01.07.2020","4 - Manager","2","4 - Manager","N","","40 to 49","40","Israel","Middle East","Elsewhere","4/1/2018","2","0.6755134"
"103","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","5","6 - Junior Officer","N","3","20 to 29","22","France","Europe","Europe","4/1/2015","5","0.3336754"
"104","Female","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","2","20 to 29","28","Switzerland","Switzerland","Switzerland","4/1/2015","5","0.2955089"
"105","Male","4 - Manager","Y","","No","No","0.50","No","N","Sales & Marketing","","4 - Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Sales & Marketing","Age @01.07.2020","4 - Manager","0","","N","","30 to 39","30","France","Europe","Europe","4/1/2020","0","0.3233757"
"106","Male","2 - Director","N","1","No","Yes","0.50","No","Y","Sales & Marketing","","2 - Director","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Sales & Marketing","Uneven - Men benefit","2 - Director","3","2 - Director","N","3","30 to 39","35","France","Europe","Europe","4/1/2017","3","0.8543282"
"107","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","2","20 to 29","23","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.670388"
"108","Male","3 - Senior Manager","N","3","No","Yes","0.50","No","Y","Operations","","3 - Senior Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Operations","Age @01.07.2020","3 - Senior Manager","6","3 - Senior Manager","N","3","30 to 39","34","France","Europe","Europe","4/1/2014","6","0.3137538"
"109","Male","6 - Junior Officer","Y","","No","No","0.50","No","N","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","0","","N","","20 to 29","24","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.4372044"
"110","Male","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Internal Services","","5 - Senior Officer","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Internal Services","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","3","20 to 29","28","Switzerland","Switzerland","Switzerland","4/1/2016","4","0.4580898"
"111","Female","5 - Senior Officer","Y","","No","No","0.50","No","N","Finance","","5 - Senior Officer","Finance","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Finance","Age @01.07.2020","5 - Senior Officer","0","","N","","30 to 39","33","Germany","Europe","Europe","4/1/2020","0","0.6693883"
"112","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","27","Switzerland","Switzerland","Switzerland","4/1/2019","1","0.4115481"
"113","Male","2 - Director","N","3","No","Yes","0.50","No","Y","Strategy","","2 - Director","Strategy","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Strategy","Uneven - Men benefit","2 - Director","4","2 - Director","N","3","40 to 49","41","Switzerland","Switzerland","Switzerland","4/1/2012","8","0.0068698"
"114","Male","4 - Manager","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","4 - Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Sales & Marketing","Age @01.07.2020","4 - Manager","3","4 - Manager","N","3","30 to 39","31","Switzerland","Switzerland","Switzerland","4/1/2013","7","0.6944342"
"115","Male","2 - Director","N","3","No","No","0.50","Yes","Y","Finance","FY20","","Finance","Full Time","Full Time","","","","","3","2 - Director","N","4","40 to 49","49","Switzerland","Switzerland","Switzerland","4/1/2014","6","0.6322202"
"116","Male","5 - Senior Officer","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","2","5 - Senior Officer","N","","20 to 29","26","France","Europe","Europe","4/1/2018","2","0.4856139"
"117","Male","4 - Manager","N","2","No","Yes","0.50","No","Y","Internal Services","","4 - Manager","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Internal Services","Age @01.07.2020","4 - Manager","1","#REF!","Y","1","30 to 39","33","France","Europe","Europe","4/1/2013","7","0.2575847"
"118","Female","3 - Senior Manager","N","","No","No","0.50","Yes","Y","Sales & Marketing","FY20","","Sales & Marketing","Full Time","Full Time","","","","","2","3 - Senior Manager","N","3","40 to 49","41","Switzerland","Switzerland","Switzerland","4/1/2012","8","0.9541095"
"119","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","80%","Part Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","22","France","Europe","Europe","4/1/2019","1","0.7652232"
"120","Male","5 - Senior Officer","N","2","Yes","Yes","0.50","No","Y","Sales & Marketing","","4 - Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","4","5 - Senior Officer","N","3","30 to 39","34","Switzerland","Switzerland","Switzerland","4/1/2014","6","0.8968282"
"121","Male","6 - Junior Officer","N","3","No","No","0.50","Yes","Y","Operations","FY20","","Operations","Full Time","Full Time","","","","","3","6 - Junior Officer","N","3","40 to 49","46","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.9257837"
"122","Male","3 - Senior Manager","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","3 - Senior Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Sales & Marketing","Age @01.07.2020","3 - Senior Manager","4","3 - Senior Manager","N","2","30 to 39","35","Switzerland","Switzerland","Switzerland","4/1/2015","5","0.0745657"
"123","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","2","30 to 39","30","Lebanon","Middle East","Elsewhere","4/1/2018","2","0.2862977"
"124","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","23","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.1089894"
"125","Male","3 - Senior Manager","Y","","No","No","0.50","No","N","Operations","","3 - Senior Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Operations","Age @01.07.2020","3 - Senior Manager","0","","N","","30 to 39","38","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.1430094"
"126","Female","6 - Junior Officer","Y","","No","No","0.50","No","N","Internal Services","","6 - Junior Officer","Internal Services","80%","Part Time","Time in Job Level @01.07.2020","6 - Junior Officer & Internal Services","Age @01.07.2020","6 - Junior Officer","0","","N","","20 to 29","22","Germany","Europe","Europe","4/1/2020","0","0.684113"
"127","Male","1 - Executive","N","","No","No","0.50","No","Y","Finance","","1 - Executive","Finance","Full Time","Full Time","","","","","2","1 - Executive","N","3","50 to 59","55","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.0192553"
"128","Male","1 - Executive","N","","No","No","0.50","No","Y","Strategy","","1 - Executive","Strategy","Full Time","Full Time","","","","","3","1 - Executive","N","2","40 to 49","42","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.497748"
"129","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","4","6 - Junior Officer","N","3","20 to 29","22","Switzerland","Switzerland","Switzerland","4/1/2016","4","0.2880994"
"130","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","2","20 to 29","24","Germany","Europe","Europe","4/1/2018","2","0.9861882"
"131","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","23","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.6398697"
"132","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Internal Services","","6 - Junior Officer","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Internal Services","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","4","20 to 29","25","Germany","Europe","Europe","4/1/2018","2","0.5185567"
"133","Female","4 - Manager","N","3","No","Yes","0.50","No","Y","Operations","","4 - Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Operations","Age @01.07.2020","4 - Manager","3","4 - Manager","N","2","30 to 39","38","Russia","Europe","Europe","4/1/2017","3","0.6836523"
"134","Male","4 - Manager","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","4 - Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Sales & Marketing","Age @01.07.2020","4 - Manager","3","4 - Manager","N","3","30 to 39","32","France","Europe","Europe","4/1/2012","8","0.4606616"
"135","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","70%","Part Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","16 to 19","19","Switzerland","Switzerland","Switzerland","4/1/2019","1","0.8730631"
"136","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","26","Switzerland","Switzerland","Switzerland","4/1/2019","1","0.0180939"
"137","Male","3 - Senior Manager","N","2","Yes","Yes","0.50","No","Y","Sales & Marketing","","2 - Director","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Sales & Marketing","Age @01.07.2020","3 - Senior Manager","2","3 - Senior Manager","N","3","40 to 49","40","France","Europe","Europe","4/1/2018","2","0.0550162"
"138","Female","6 - Junior Officer","N","2","Yes","Yes","0.50","No","Y","HR","","5 - Senior Officer","HR","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & HR","Age @01.07.2020","6 - Junior Officer","6","6 - Junior Officer","N","2","30 to 39","30","Sweden","Europe","Europe","4/1/2014","6","0.422849"
"139","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","27","Italy","Europe","Europe","4/1/2018","2","0.6515862"
"140","Male","3 - Senior Manager","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","3 - Senior Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Sales & Marketing","Age @01.07.2020","3 - Senior Manager","5","3 - Senior Manager","N","3","30 to 39","39","Switzerland","Switzerland","Switzerland","4/1/2015","5","0.5587454"
"141","Male","3 - Senior Manager","N","4","No","Yes","0.50","No","Y","Operations","","3 - Senior Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Operations","Age @01.07.2020","3 - Senior Manager","1","#REF!","Y","2","30 to 39","35","Switzerland","Switzerland","Switzerland","4/1/2015","5","0.965256"
"142","Male","3 - Senior Manager","Y","","No","No","0.50","No","N","Operations","","3 - Senior Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Operations","Age @01.07.2020","3 - Senior Manager","0","","N","","30 to 39","34","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.7269231"
"143","Female","6 - Junior Officer","N","3","No","No","0.50","Yes","Y","Operations","FY20","","Operations","50%","Part Time","","","","","2","6 - Junior Officer","N","3","30 to 39","31","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.8788386"
"144","Male","1 - Executive","Y","","No","No","0.50","No","N","Strategy","","1 - Executive","Strategy","Full Time","Full Time","","","","","0","","N","","40 to 49","49","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.6592136"
"145","Male","4 - Manager","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","4 - Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Sales & Marketing","Age @01.07.2020","4 - Manager","4","4 - Manager","N","3","30 to 39","36","Spain","Europe","Europe","4/1/2016","4","0.3725259"
"146","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","2","20 to 29","26","France","Europe","Europe","4/1/2017","3","0.2140278"
"147","Female","4 - Manager","Y","","No","No","0.50","No","N","Operations","","4 - Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Operations","Age @01.07.2020","4 - Manager","0","","N","","40 to 49","42","Germany","Europe","Europe","4/1/2020","0","0.6087783"
"148","Male","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","2","20 to 29","23","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.5312271"
"149","Male","4 - Manager","N","4","No","Yes","0.50","No","Y","Sales & Marketing","","4 - Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Sales & Marketing","Age @01.07.2020","4 - Manager","2","4 - Manager","N","3","30 to 39","36","Germany","Europe","Europe","4/1/2015","5","0.7460945"
"150","Male","4 - Manager","N","2","No","Yes","0.50","No","Y","Operations","","4 - Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Operations","Age @01.07.2020","4 - Manager","3","4 - Manager","N","2","30 to 39","36","Switzerland","Switzerland","Switzerland","4/1/2016","4","0.2987068"
"151","Female","5 - Senior Officer","N","","No","No","0.50","Yes","Y","Sales & Marketing","FY20","","Sales & Marketing","Full Time","Full Time","","","","","3","5 - Senior Officer","N","3","40 to 49","41","Italy","Europe","Europe","4/1/2016","4","0.0119617"
"152","Male","2 - Director","N","2","No","Yes","0.50","No","Y","HR","","2 - Director","HR","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & HR","Uneven - Men benefit","2 - Director","6","2 - Director","N","3","40 to 49","42","France","Europe","Europe","4/1/2012","8","0.9056892"
"153","Female","3 - Senior Manager","Y","","No","No","0.50","No","N","Sales & Marketing","","3 - Senior Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Sales & Marketing","Age @01.07.2020","3 - Senior Manager","0","","N","","40 to 49","40","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.7601213"
"154","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","30 to 39","31","Switzerland","Switzerland","Switzerland","4/1/2019","1","0.1179201"
"155","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","22","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.0326252"
"156","Male","6 - Junior Officer","N","2","No","No","0.50","Yes","Y","Internal Services","FY20","","Internal Services","Full Time","Full Time","","","","","5","6 - Junior Officer","N","3","30 to 39","39","Italy","Europe","Europe","4/1/2015","5","0.5724606"
"157","Female","5 - Senior Officer","Y","","No","No","0.50","No","N","Operations","","5 - Senior Officer","Operations","90%","Part Time","Time in Job Level @01.07.2020","5 - Senior Officer & Operations","Age @01.07.2020","5 - Senior Officer","0","","N","","20 to 29","28","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.4419004"
"158","Male","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Internal Services","","6 - Junior Officer","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Internal Services","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","3","20 to 29","23","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.4785918"
"159","Male","3 - Senior Manager","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","3 - Senior Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Sales & Marketing","Age @01.07.2020","3 - Senior Manager","3","3 - Senior Manager","N","3","30 to 39","39","Germany","Europe","Europe","4/1/2017","3","0.2418506"
"160","Male","3 - Senior Manager","N","1","No","Yes","0.50","No","Y","Sales & Marketing","","3 - Senior Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Sales & Marketing","Age @01.07.2020","3 - Senior Manager","1","#REF!","Y","2","30 to 39","35","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.6178176"
"161","Male","4 - Manager","N","2","No","Yes","0.50","No","Y","Operations","","4 - Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Operations","Age @01.07.2020","4 - Manager","2","4 - Manager","N","3","30 to 39","35","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.0294244"
"162","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","3","20 to 29","26","France","Europe","Europe","4/1/2017","3","0.0105921"
"163","Male","4 - Manager","N","3","No","Yes","0.50","No","Y","Finance","","4 - Manager","Finance","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Finance","Age @01.07.2020","4 - Manager","3","4 - Manager","N","3","30 to 39","36","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.733146"
"164","Male","5 - Senior Officer","N","3","No","No","0.50","Yes","Y","Operations","FY20","","Operations","Full Time","Full Time","","","","","7","5 - Senior Officer","N","3","50 to 59","56","Netherlands","Europe","Europe","4/1/2011","9","0.7606394"
"165","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","26","France","Europe","Europe","4/1/2019","1","0.8418029"
"166","Male","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","2","20 to 29","24","Switzerland","Switzerland","Switzerland","4/1/2013","7","0.0721162"
"167","Male","3 - Senior Manager","N","2","No","Yes","0.50","No","Y","Internal Services","","3 - Senior Manager","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Internal Services","Age @01.07.2020","3 - Senior Manager","2","3 - Senior Manager","N","3","40 to 49","40","Germany","Europe","Europe","4/1/2017","3","0.6463261"
